                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2072,                0.94067,                 1.1583,                0.49939,                0.28269,                0.36177,                 0.1209,                 2.6928,                 3.5896,                 2.3666,              0.0016003,              0.0016003,              0.0016003
                     91,                 1.1886,                0.91506,                 1.1614,                0.63957,                0.24074,                0.30856,                0.07908,                  2.665,                 4.0741,                 2.2582,              0.0015919,              0.0015919,              0.0015919
                     92,                 1.1865,                0.91045,                 1.1432,                0.39076,                0.27536,                0.30461,                0.10232,                 2.7618,                 4.1279,                 2.2997,              0.0015835,              0.0015835,              0.0015835
                     93,                 1.1736,                0.90943,                 1.1601,                0.51533,                0.25589,                0.30425,                0.10276,                 2.6309,                 4.0279,                 2.2818,               0.001575,               0.001575,               0.001575
                     94,                  1.172,                0.89283,                 1.1591,                0.30013,                 0.2862,                0.30551,                0.10475,                 2.6816,                 3.9708,                 2.3672,              0.0015665,              0.0015665,              0.0015665
                     95,                 1.1776,                0.90767,                 1.1488,                0.17786,                 0.2797,                0.28342,                0.10301,                 2.9153,                 3.9578,                 2.6113,              0.0015579,              0.0015579,              0.0015579
                     96,                  1.188,                0.90481,                 1.1598,                0.35084,                0.25589,                0.29251,                0.07322,                 2.8089,                 3.9642,                 2.5171,              0.0015492,              0.0015492,              0.0015492
                     97,                  1.181,                0.89373,                 1.1452,                 0.2852,                0.27136,                0.30547,                0.07755,                 2.7576,                 3.9735,                 2.4853,              0.0015405,              0.0015405,              0.0015405
                     98,                 1.1539,                0.89539,                  1.146,                0.36259,                0.13468,                 0.3005,                0.07655,                 2.7586,                 4.1866,                 2.3508,              0.0015317,              0.0015317,              0.0015317
                     99,                 1.1466,                0.88169,                  1.138,                0.29003,                  0.297,                0.30801,                0.11673,                 2.7574,                 3.5986,                  2.405,              0.0015228,              0.0015228,              0.0015228
                    100,                 1.1538,                0.88717,                 1.1493,                0.38511,                0.28314,                0.30389,                0.07257,                 2.9107,                  3.507,                 2.5443,               0.001514,               0.001514,               0.001514
                    101,                  1.153,                0.85218,                 1.1229,                0.29406,                 0.2862,                0.32903,                0.12186,                 2.8599,                 3.5404,                  2.358,               0.001505,               0.001505,               0.001505
                    102,                 1.1571,                0.86339,                 1.1339,                0.28926,                 0.3165,                 0.3022,                0.08393,                 2.9894,                 3.4995,                 2.6203,               0.001496,               0.001496,               0.001496
                    103,                    1.1,                0.82898,                 1.1279,                0.23639,                  0.282,                0.23372,                0.07546,                 2.7829,                 3.8268,                 2.4686,              0.0014869,              0.0014869,              0.0014869
